package,breaking_version,prior_stable_version,published_at,description,weekly_downloads,dependent_count,has_changelog,notes,label_breaking,pattern
uuid,9.0.0,8.3.2,2022-09-05T20:03:54.869+0,"RFC4122 (v1, v4, and v5) UUIDs",261337841,113344,1,Browser crypto API requirement,1,C
glob,8.0.0,7.2.3,unknown,,353879984,110016,0,Removed sync methods,1,A
glob,9.0.0,8.1.0,2023-02-27T20:51:32.657+0,the most correct and second fastest glob implementation in JavaScript,353879984,110016,0,"ESM-only, API changes",1,A
rimraf,4.0.0,3.0.2,2023-01-13T00:29:41.802+0,A deep deletion module for node (like `rm -rf`),139337814,98656,0,"ESM-only, CLI changes",1,C
mkdirp,1.0.0,0.5.5,2020-01-24T20:18:42.630+0,"Recursively mkdir, like `mkdir -p`",127237936,25952,0,"Now returns Promise, breaks sync usage",1,C
semver,7.0.0,6.3.0,2019-12-14T19:36:54.748+0,The semantic version parser used by npm.,718498270,51824,0,Removed deprecated methods,1,B
commander,8.0.0,7.2.0,2021-06-25T08:24:16.053+0,the complete solution for node.js command-line programs,412840457,44736,0,Option handling breaking change,1,C
commander,9.0.0,8.3.0,2022-01-29T00:30:40.995+0,the complete solution for node.js command-line programs,412840457,44736,0,"ESM support, breaking option parsing",1,C
yargs,17.0.0,16.2.0,2021-05-02T19:02:58.536+0,"yargs the modern, pirate-themed, successor to optimist.",193866313,38304,0,"ESM support, Node 10 dropped",1,B
dotenv,16.0.0,15.0.2,2022-02-02T21:26:07.108+0,Loads environment variables from .env file,135532044,4920,0,Multiline value parsing changed,1,C
mongoose,6.0.0,5.13.7,2021-08-24T22:12:24.222+0,Mongoose MongoDB ODM,5518847,71008,0,"Schema strict mode, query changes",1,B
mongoose,7.0.0,6.9.1,2023-02-27T18:53:48.801+0,Mongoose MongoDB ODM,5518847,71008,0,"Promises-only, callback API removed",1,B
sequelize,6.0.0,5.22.4,2019-06-12T21:15:20.805+0,,2974383,47176,0,"Model.sync breaking, DataTypes changes",1,A
typeorm,0.3.0,0.2.45,2022-03-17T16:04:42.448+0,"Data-Mapper ORM for TypeScript, ES7, ES6, ES5. Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, MongoDB databases.",4688043,21504,1,Complete API rewrite,1,B
graphql,16.0.0,15.8.0,2021-10-28T19:55:08.577+0,A Query Language and Runtime which can target any service.,39640273,60856,0,Execution result changes,1,B
apollo-server,3.0.0,2.25.2,2021-07-07T18:17:59.113+0,Production ready GraphQL Server,216479,1113,1,Plugin API breaking change,1,B
next,13.0.0,12.3.1,2022-10-25T17:31:20.550+0,The React Framework,36029905,17296,0,"App directory, breaking layout changes",1,B
next,14.0.0,13.5.4,2023-10-26T16:13:48.364+0,The React Framework,36029905,17296,0,"Server actions, router changes",1,B
nuxt,3.0.0,2.15.8,2022-11-16T15:01:13.539+0,> The core of Nuxt 3,1533230,35680,0,Complete rewrite,1,C
gatsby,4.0.0,3.14.6,2021-10-21T11:59:29.528+0,Blazing fast modern site generator for React,315646,7732,0,"GraphQL breaking, plugin API changes",1,B
tailwindcss,3.0.0,2.2.19,2021-12-09T16:27:08.803+0,A utility-first CSS framework for rapidly building custom user interfaces.,110736414,2012,0,"JIT-only, class purge changes",1,B
postcss,8.0.0,7.0.39,2020-09-15T15:20:21.522+0,Tool for transforming styles with JS plugins,227321486,1908,0,Plugin API breaking change,1,B
rollup,3.0.0,2.79.1,2022-10-11T13:43:22.138+0,Next-generation ES module bundler,121000722,91712,0,"ES2020 baseline, config API changes",1,B
vite,3.0.0,2.9.13,2022-07-13T11:55:20.609+0,Native-ESM powered web dev build tool,129314650,1712,0,"Config API, import.meta.env changes",1,B
vite,4.0.0,3.2.5,2022-12-09T09:04:44.603+0,Native-ESM powered web dev build tool,129314650,1712,0,"Rollup 3, plugin API changes",1,B
prettier,3.0.0,2.8.8,2023-07-05T12:44:13.820+0,Prettier is an opinionated code formatter,106515826,17472,0,"ESM-only, breaking plugin API",1,B
